phrase,PQP,auxiliary,verb,marker,translation,group
"Quand j'étais en diesel, j'étais un des plus vieux, parce que euh, j'avais, euh, déjà d'une, j'avais redoublé, puis en plus j'avais fait deux B.E.P..",j'avais redoublé puis,avoir,redoubler,puis,later,later
"le travail parce que elle y a été que trois mois et puis elle avait reçu son, son CAP ou je sais pas quoi à l'époque.",puis elle avait reçu,avoir,recevoir,puis,later,later
euh donc on a été un petit peu sur l'avenue d'Italie et je savais que mon bar était euh alors je savais qu'une fois j'y avais été en allant à Montparnasse puis j'avais pris la ligne 13 si j'ai bien métro Pernetty oui c'est ça donc en gros je savais que c'était vers la gauche de euh de l'avenue d'Italie donc au bout d'un moment pas trop longtemps on a pris à gauche en me disant que euh en me repérant par rapport à la Tour Montparnasse en allant à gauche je finirai pas trouver la ligne 13 mais c'était un petit bout en fait beaucoup plus loin que ce que j'avais prévu on a marché on a marché on a marché euh donc on a été jusqu'au parc,puis j'avais pris,avoir,prendre,puis,later,later
alors ils ont ils faisaient les poubelles évidemment et puis ils avaient construit des baraquements recouverts en tôle ondulée il y avait des petits pavillons qui étaient pas mal,puis ils avaient construit,avoir,construire,puis,later,later
oui puis ç'avait été médiatisé ça c'était passé à la radio,puis ç'avait été,avoir,être,puis,later,later
Corse en agriculture c'était bien il y avait du travail et tout et puis bon euh on m'avait dit qu'il y avait du travail euh,puis on m'avait dit,avoir,dire,puis,later,later
à la fin tout le monde enfin surtout les jeunes en fait ils s'étaient mobilisés et puis ils avaient fait ils avaient cassé un peu tout partout aux alentours de la mairie et moi j'étais jeune j'étais assez jeune,puis ils avaient fait,avoir,faire,puis,later,later
à la fin tout le monde enfin surtout les jeunes en fait ils s'étaient mobilisés et puis ils avaient fait ils avaient cassé un peu tout partout aux alentours de la mairie et moi j'étais jeune j'étais assez jeune,puis ils avaient cassé,avoir,casser,puis,later,later
puis on avait pensé à ces sortes de discussions préparées,on avait pensé,avoir,penser,puis,later,later
et puis c'était passé encore ça,puis c'était passé,être,passer,puis,later,later
il avait trouv- enfin chez elle euh une glace qui avait été repeinte et puis alors il l'a complètement décapée euh il avait trouvé le dessous c'était encore de l'or enfin,puis il avait trouvé,avoir,trouver,puis,later,later
alors non euh papa avait dit non et puis j'avais été voir Serge et je lui avais dit c'est non et puis c'est tout,puis j'avais été,avoir,être,puis,later,later
et puis il l'avait bien repris,puis il l'avait bien repris,avoir,reprendre,puis,later,later
puis ils avaient bah ramassé toutes les cerises et puis ils avaient,puis ils avaient ramassé,avoir,ramasser,puis,later,later
euh les les tomates cerises et puis puis ils avaient cassé les pieds,puis ils avaient cassé,avoir,casser,puis,later,later
et puis bon moi j'avais vu,puis j'avais vu,avoir,voir,puis,later,later
"Puis après on était repartis en, (pause) tous les deux en avion.",puis après on était repartis,être,repartir,puis,later,later
un évènement pareil ah non j'en avais jamais vécu avant,j'en avais jamais vécu avant,avoir,vivre,jamais,never,never
"Nous on n'avait jamais travaillé parce que, ils voulaient être plus vite débarrassés d'autres bon ben.",on n'avait jamais travaillé,avoir,travailler,jamais,never,never
les dix ou douze premières années ou je j'ai été militant ici jamais j'avais vu de manifestation importante euh,jamais j'avais vu,avoir,voir,jamais,never,never
à être musicien alors qu'il avait jamais fait de musique,il avait jamais fait,avoir,faire,jamais,never,never
visiter les châteaux bé j'en avais jamais vu de ma vie,j'en avais jamais vu,avoir,voir,jamais,never,never
si je n'avais jamais travaillé je vois pas bien ce que j'aurais pu faire aller me reclasser à cinquante ans ça si je n'avais eu aucun métier quoi,je n'avais jamais travaillé,avoir,travailler,jamais,never,never
j'avais jamais remarqué qu'il manquait le tome un,j'avais jamais remarqué,avoir,remarquer,jamais,never,never
et en fait je n'y avais jamais pensé avant parce que on,je n'y avais jamais pensé avant,avoir,penser,jamais,never,never
"Maman avait jamais coupé les cheveux ni, ni rasé parce qu'à l'époque les, les, les, les, les papis, euh, enfin les, les hommes ils se, ils avaient pas de rasoirs électriques ni mécaniques, ou très peu, donc ils venaient se faire raser.",Maman avait jamais coupé,avoir,couper,jamais,never,never
"Mais, euh, bon c'est sûr que je l'ai quand même souvent entendue dire, euh, qu'elle avait jamais pensé que ça aurait duré cinq ans hein.",elle avait jamais pensé,avoir,penser,jamais,never,never
